compound_id,smiles,all_preds,all_probs
1590.mol2 1617,CC(C)CCNC[C@]1(O)[C@H](Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)O[C@H](C(=O)[O-])[C@@H](O)[C@@H]1O,1,0.9421587
42686.mol2(+)-Nb-Methyl_tryptophan_methyl_ester_(S),CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC,1,0.9402652
35843.mol24'-Desmethylpiplartine,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1O,1,0.9398697
40618.mol2Isorobustone,CC1(C)C=Cc2cc(-c3coc4cc5c(c(O)c4c3=O)C=CC(C)(C)O5)ccc2O1,1,0.93942577
46141.mol2Setoclavine,CN1C[C@@](C)(O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1,0.9386584
17504.mol219164,COCCc1cc([C@@H]2C=C[C@@]3(O)Cc4c(cc5oc(CO)cc(=O)c5c4O)O[C@@]3(C)C2)ccc1N,1,0.9386564
16127.mol217787,CC#Cc1ccc(-c2ccc(C(=O)CCCCO)s2)s1,1,0.9383884
34723.mol2Cenocladamide,COc1cc(/C=C/C(=O)N2C=CC(=O)CC2)cc(OC)c1O,1,0.9383652
36921.mol2Dulcisxanthone_D,CC(C)=CCc1c(O)c2c(c3c(=O)c4c(O)c5c(cc4oc13)OC(C)(C)C=C5)C=CC(C)(C)O2,1,0.9372265
34483.mol2Caloxanthone,CC(C)=CCc1c2c(c(O)c3c(=O)c4cc5c(c(O)c4oc13)OC(C)(C)C=C5)C=CC(C)(C)O2,1,0.9367597
28402.mol231282,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,1,0.93651456
"47606.mol28(Z)-N-(12,13,14-Trimethoxycinnamoyl)-_  3-pyridin-2-one",COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,1,0.93651456
41857.mol2Mangostenone_A,CC(C)=CCc1c(O)c2c(c3oc4cc5c(c(O)c4c(=O)c13)C=CC(C)(C)O5)C=CC(C)(C)O2,1,0.9359118
47956.mol2Vincosamide,C=C[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@H]2O)OC=C2C(=O)N3CCc4c([nH]c5ccccc45)[C@H]3C[C@H]21,1,0.9358589
35803.mol2(3R)-Deoxypumiloside,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)N3Cc4cc5ccccc5nc4[C@H]3C[C@H]21,1,0.9354642
38010.mol2Garcimangosone_A,CC(C)=CCc1c2c(c(O)c3oc4cc5c(c(O)c4c(=O)c13)C=CC(C)(C)O5)C=CC(C)(C)O2,1,0.93534315
10097.mol211248,CC1=C2C[C@]3(CN4C[C@H]4CNC4CCCCC4)CC[C@@H](C)[C@@]2(CC1)C3(C)C,1,0.9350166
35185.mol2C-profluorocurine,C/C=C1/C[N@+]2(C)CC[C@]3(O)c4ccccc4N4[C@@H](CO)[C@H]1C[C@H]2[C@@]43O,1,0.93458545
31559.mol236078,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1,0.9338094
42971.mol2Naucleonidine,COC(=O)c1cncc([C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3O2)c1,1,0.93002707
23883.mol225888,CNCCCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1,1,0.9294032
46531.mol2Strictosidinic_acid,C=C[C@H]1[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1C[C@@H]1NCCc2c1[nH]c1ccccc21,1,0.9291392
47697.mol2Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1,0.9291317
35389.mol2Cyclo-(D-seryl-L-tyrosyl),O=C1N[C@H](Cc2ccc(O)cc2)C(=O)N[C@H]1CO,1,0.9289242
29700.mol233279,O=c1[cH-]cc2c3c(cc[n+]2[O-])-c2ccccc2-[n+]13,1,0.9286333
18886.mol220652,COc1cc(/C=C/C(=O)O[C@@H]2[C@H](OC(C)=O)[C@@H](O)[C@@H]3CNC[C@@]2(O)O3)ccc1O,1,0.9285458
37799.mol2Formosanatin_B,CC(C)=CCc1c(O)c(CC=C(C)C)c2oc3oc4c5c(c(O)cc4c3c(=O)c2c1O)OC(C)(C)[C@H](O)[C@H]5O,1,0.92842865
18872.mol220638,CNCc1cc(O)c(OC)cc1/C=C/C(=O)O[C@@H]1[C@H](OC(C)=O)[C@@H](O)[C@@H]2CNC[C@@]1(O)O2,1,0.92809594
33600.mol2Aristoliukine_B,COC1=C(O)C=C2C(=O)C(=O)NC3=Cc4ccc(O)cc4[C@@H]1[C@H]32,1,0.92804563
46639.mol2Syneilesine,CC[C@H]1C(=O)O[C@H]2CCNC/C=C(/COC(=O)[C@@](C)(O)[C@@H](C)[C@@H]1O)C2=O,1,0.9279762
38957.mol2Homocapsaicin,COc1cc(CNC(=O)CCCCC/C=C/C(C)C)ccc1O,1,0.92748076
41136.mol2Laccaic_acid_C,N[C@H](Cc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1)C(=O)O,1,0.926695
2.mol2    2,CN[C@@H]1C=CCOc2cc3c(c(O)c21)C(=O)c1c(cc(OC)c(O)c1C(O)O)C3=O,1,0.924282
44985.mol2Pumiloside,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)N3Cc4c([nH]c5ccccc5c4=O)[C@@H]3C[C@H]21,1,0.9242498
