compound_id,smiles,all_preds,all_probs
Z2568699261,O=C(O)/C=C/C(=O)O.O(CCO)CCN1CCN(C2=Nc3c(Sc4c2cccc4)cccc3)CC1.O(CCO)CCN1CCN(C2=Nc3c(Sc4c2cccc4)cccc3)CC1,1,0.88623786
Z1550648764,Cl.c1([C@@]2N=C3SCCN3C2)ccccc1,1,0.8857874
Z2756516844,S(CC1=C(C(=O)[O-])N2C(=O)[C@@](NC(=O)Cn3nnnc3)[C@]2SC1)c1sc(C)nn1.[Na+],1,0.88466763
Z2235801903,Clc1cc2c(/C(=C/3\CCNCC\3)/c3ncccc3CC2)cc1,1,0.8821671
Z2235801948,P(=O)(OCN1C(=O)C(C)(C)Oc2c1nc(Nc1c(F)cnc(Nc3cc(OC)c(OC)c(OC)c3)n1)cc2)(O)O,1,0.881296
Z2568647847,FC(F)(F)c1ccc(/C(=N\OCCN)/CCCCOC)cc1.O=C(O)/C=C/C(=O)O,1,0.879762
Z2568722545,Fc1cc2/C(=C/c3c(C)c(C(=O)NCCN(CC)CC)c(C)[nH]3)/C(=O)Nc2cc1,1,0.87926143
Z104483432,Ic1c(O)c2ncccc2c(Cl)c1,1,0.8772598
Z2044741046,O=C(O)[C@@](N)Cc1c2c([nH]c1)ccc(O)c2,1,0.87423503
Z1546610485,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCN2CCOCC2)c(OC)c3)c1,1,0.8727661
Z1501480423,O(C)c1cc2c(/C=N/NC(=N)NCCCCC)c[nH]c2cc1,1,0.8683771
Z2568619526,Clc1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,1,0.86830664
Z756440056,O=C(O)[C@@](N)Cc1c2c([nH]c1)cccc2,1,0.86289245
Z1741968270,O(CCc1ncc(CC)cc1)c1ccc(CC2C(=O)NC(=O)S2)cc1.Cl,1,0.8582036
Z1162463430,S(CCN/C(=N/C#N)/NC)Cc1c(C)[nH]cn1,1,0.8580157
Z3905817531,FC(F)(F)C(=O)O.FC(F)(F)C(=O)O.FC(F)(F)C(=O)O.O=C(N[C@@](C(=O)N1CCC(N)(C(=O)O)CC1)CCCCN)[C@](NC(=O)[C@](NC(=O)[C@](N)Cc1ccccc1)Cc1ccccc1)CC(C)C,1,0.85262877
Z1541759894,O=C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@](OC(=O)C)[C@@](N5CCCCC5)C4)CC3)CC2)C[C@@]1[N+]1(C)CCCCC1)C.[Br-],1,0.8491128
Z1592690505,FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3.Cl.Cl,1,0.8471809
Z57931208,O/N=C/c1[n+](C)cccc1.[Cl-],1,0.845868
Z271014318,O(CC(N)C)c1c(C)cccc1C,1,0.8454167
Z1248763315,FC(F)(F)c1cc(Nc2c(C(=O)OCCOCCO)cccc2)ccc1,1,0.8414438
Z1741977105,O(C)c1c(OC)cc2c(C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2)c1,1,0.8412481
Z104343004,Sc1[n+]([O-])cccc1,1,0.83911
Z1551967349,O=[N+]([O-])c1cc(C2C(C(=O)OCCN(Cc3ccccc3)C)=C(C)NC(C)=C2C(=O)OC)ccc1.Cl,1,0.8319048
Z1465002628,[N+](C)(C)=C1C=CC(=C(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)C=C1.[Cl-],1,0.8308127
Z1558515434,O([C@]1[C@](O)[C@@](O)C(O)O[C@@]1CO)[C@@]1[C@](O)[C@@](O)[C@](O[C@@]2[C@](O)[C@@](O)[C@](N[C@@]3[C@](O)[C@@](O)[C@](O)C(CO)=C3)[C@@](C)O2)[C@@](CO)O1,1,0.8304433
Z3041521791,S(CC1=C(C(=O)[O-])N2C(=O)[C@@](NC(=O)[C@](OC=O)c3ccccc3)[C@]2SC1)c1n(C)nnn1.[Na+],1,0.82852715
Z1521553713,FC(F)(F)c1n2c(nn1)CN(C(=O)C[C@](N)Cc1c(F)cc(F)c(F)c1)CC2,1,0.82565355
Z2588039015,Clc1ccc(C(=O)NCCc2ccc(OC(C(=O)O)(C)C)cc2)cc1,1,0.8151799
Z104473910,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,1,0.8039278
Z234896485,SC([C@@](N)C(=O)O)(C)C,1,0.8034974
Z1514087129,O=[N+]([O-])c1sc(NC(=O)c2c(OC(=O)C)cccc2)nc1,1,0.79987377
Z2242151271,O(C(C)(c1ncccc1)c1ccccc1)CCN(C)C,1,0.79936975
Z1521553845,Clc1cc2c(/C(=C/3\CCN(C(=O)OCC)CC\3)/c3ncccc3CC2)cc1,1,0.79908025
Z57473348,O=C(O)CN1c2c(C(=O)c3c1cccc3)cccc2,1,0.7976366
