tcm_id,smiles
43994.mol2Pedicellanin,O=C1CCC[C@H](c2ccc(O)cc2)O1
34250.mol2Bruguierol_C,Oc1cc(O)c2c(c1)C[C@H]1CC[C@@H]2O1
25990.mol228099,CC(=O)Oc1cc(C)ccc1C(C)C
25985.mol228088,CC(=O)Oc1cc(C(C)C)ccc1C
29904.mol233549,CC(C)CC(=O)OCc1ccccc1
44247.mol2  -Phenylethyl_isobutanoate,CC(C)C(=O)OCCc1ccccc1
30726.mol234701,C[C@@H]1CCC=C2C(=O)C=C[C@@H](O)[C@]21C
"34323.mol23(S)-3-Butyl-4,5-dihydrophthalide",CCCC[C@@H]1OC(=O)C2=C1CCC=C2
27395.mol229875,CCCC[C@H]1OC(=O)C2=C1CCC=C2
31449.mol235913,CCCC[C@@H]1OC(=O)C2=C1CCC=C2
"47662.mol27-Trinoreudesm-4(15),8-dien-1  -ol-7-one",C=C1CC[C@@H](O)[C@]2(C)C=CC(=O)C[C@@H]12
40244.mol2  -Ionone,CC(=O)/C=C/[C@H]1C(C)=CCCC1(C)C
30722.mol234697,CC(=O)/C=C/C1=C(C)CCCC1(C)C
40245.mol2  -Ionone,CC(=O)/C=C/C1=C(C)CCCC1(C)C
9696.mol2 10828,C=C1[C@H]2C[C@@H]3CCC[C@]1(C)[C@H]3[C@@H]2OC
9702.mol2 10834,C=C1[C@@H]2C[C@H]3[C@H](CCC[C@@]13C)[C@H]2CO
30906.mol235011,C=C1CC[C@H]2C[C@H]2[C@H]2[C@H]1CC[C@]2(C)O
35422.mol2Cyprotene,C/C=C1/C[C@H]2CC[C@@H](C)[C@]1(C)C2(C)C
31368.mol235748,CC[C@@H]1CC[C@@]2(C)CCC=C(C)[C@@H]2C1
8905.mol2 10027,C[C@H]1CC=C[C@](C)(C2CCCCC2)C1
38062.mol2Gentianal,C[C@@H]1OCCC2=C1C=NC(=O)[C@H]2C=O
43263.mol2Northalifoline_(tautomeric_structure_1),COc1cc2c(cc1O)C(=O)NCC2
43264.mol2Northalifoline_(tautomeric_structure_2),COc1cc2c(cc1O)C(O)=NCC2
"36765.mol2N,N-Dimethylphenylalanine",CN(C)[C@H](Cc1ccccc1)C(=O)O
