smiles,fda_id
O=C(OCCCC)c1ccc(O)cc1,Z291799028
O=C(O)[C@](O)[C@@](O)C(=O)[O-].O=C(O)[C@](O)[C@@](O)C(=O)[O-].C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1,Z2901807455
NCCc1n[nH]cc1.Cl.Cl,Z2867120994
O=C(NC1CNCCC1)c1cc(OC)c(OC)c(OC)c1,Z285140914
O=C(N1CCOCC1)c1cc(OC)c(OC)c(OC)c1,Z28251506
O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)[C@]3[C@](O)[C@]2[C@](N(C)C)C=1O.O=C(N)C=1C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)[C@]3[C@](O)[C@]2[C@](N(C)C)C=1O.OCC.Cl.Cl.O,Z2791720087
O=[N+]([O-])c1c(C2C(C(=O)OCC(C)C)=C(C)NC(C)=C2C(=O)OC)cccc1,Z277942268
S(=O)(=O)(N)c1sc(NC(=O)C)nn1,Z277559108
S(=O)(=O)(Nc1c(OC)nccn1)c1ccc(N)cc1,Z277559098
Clc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)c(OC)cc1,Z277540138
S(=O)(=O)(O)O.Nc1cc2nc3c(cc2cc1)ccc(N)c3,Z2768171875
N([C@@](Cc1ccccc1)C)(CC#C)C.Cl,Z2768168341
O=C([O-])[C@](O)[C@@](O)[C@](O)[C@](O)CO.O=C([O-])[C@](O)[C@@](O)[C@](O)[C@](O)CO.[Ca+2],Z2768168188
O=C(OCCN1CCCCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1.Cl,Z2768134941
O=C(NC=1C(=O)N(N(C)C=1C)c1ccccc1)c1cnccc1,Z27661938
Clc1ccc(S(=O)(=O)NC(=O)NCCC)cc1,Z276509110
S(=O)(=O)(OCCCCOS(=O)(=O)C)C,Z276508890
O=C1C(c2ccccc2)C(=O)c2c1cccc2,Z276115700
O=C(OCCN(C)C)c1ccc(NCCCC)cc1.Cl,Z2756516968
O(CCCC)c1ccc(OCCCN2CCOCC2)cc1.Cl,Z2756516943
O=C(O[C@@]1[C@@](OC)C(C)(C)O[C@@](Oc2c(C)c3OC(=O)C(NC(=O)c4cc(C/C=C(\C)/C)c([O-])cc4)=C(O)c3cc2)[C@@]1O)N.[Na+],Z2756516923
O=C(N(C)c1ccc(N/C(/c2ccccc2)=C\2/C(=O)Nc3c/2ccc(C(=O)OC)c3)cc1)CN1CCN(C)CC1,Z2756516920
NC=1N2c3c(cccc3)Cc3c(cccc3)C2CN=1.Cl,Z2756516876
